Unique_Investment_Identifier,Business_Case ID,Agency_Code,Agency_Name,Investment_Title,Project_ID,Agency_Project_ID,Project_Name,Duration_Year,Project_Status,Start_Date,Completion_Date,Planned_Project_Completion_Date,Projected_Actual_Project_Completion_Date,Schedule_Variance,Schedule_Variance,Lifecycle_Cost,Planned_Cost,Projected_Actual_Cost,Cost_Variance,Cost_Variance,Updated_Date,Updated_Time,Unique_Project_ID
024-000005188,311,24,Department of Homeland Security,CBP - Infrastructure,2,172538,Windows 7,5,onTime,2009-01-01T00:00:00Z,2014-04-30T00:00:00Z,2012-09-29T00:00:00Z,2012-09-29T00:00:00Z,0,0,19,6.25,3.674,2.576,41.22,2012-04-30T00:00:00Z,04:42:57,2
024-000005137,315,24,Department of Homeland Security,CBP - Analytical Framework for Intelligence,3,175755,AFI System,8,onTime,2009-01-10T00:00:00Z,2017-09-30T00:00:00Z,2012-10-21T00:00:00Z,2012-10-21T00:00:00Z,0,0,177.7,29.35,29.35,0,0,2012-08-22T00:00:00Z,04:14:25,100
024-000005137,315,24,Department of Homeland Security,CBP - Analytical Framework for Intelligence,4,176150,HSDN,8,onTime,2009-01-10T00:00:00Z,2017-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,27.3,4.29,4.39,-0.1,-2.33,2012-07-24T00:00:00Z,04:12:17,200
024-000009560,151,24,Department of Homeland Security,NPPD - US-VISIT - Automated Biometric Identification System (IDENT),5,174064,IDENT FY 2011,1,delay,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2012-04-30T00:00:00Z,-336,-157.75,14.56,14.56,14.56,0,0,2012-02-28T00:00:00Z,05:17:47,1
024-000009560,151,24,Department of Homeland Security,NPPD - US-VISIT - Automated Biometric Identification System (IDENT),6,174285,IDENT FY 2012,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,18.677,18.677,18.677,0,0,2012-06-29T00:00:00Z,03:55:41,2
024-000009560,151,24,Department of Homeland Security,NPPD - US-VISIT - Automated Biometric Identification System (IDENT),7,176117,IDENT FY 2013,1,onTime,2012-01-10T00:00:00Z,2013-09-30T00:00:00Z,,,0,0,25.844,25.844,25.844,0,0,2011-10-27T00:00:00Z,04:36:49,3
024-000005664,173,24,Department of Homeland Security,TSA - Technology Infrastructure Modernization (TIM) Program,8,174129,SOA Foundation,1,delay,2011-01-11T00:00:00Z,2012-01-11T00:00:00Z,,,-314,-85.79,16,16,16,0,0,2012-05-29T00:00:00Z,04:23:28,1
024-000005664,173,24,Department of Homeland Security,TSA - Technology Infrastructure Modernization (TIM) Program,9,174130,SOA Platform,1,delay,2012-01-11T00:00:00Z,2013-01-11T00:00:00Z,,,-255,-69.86,16,16,16,0,0,2012-05-29T00:00:00Z,04:23:28,2
024-000009540,853,24,Department of Homeland Security,NPPD - Next Generation Networks Priority Services (NGN-PS),10,172266,Core SP1,11,delay,2006-01-10T00:00:00Z,2017-05-01T00:00:00Z,,,-388,-43.64,72.961,6.358,5.202,1.156,18.18,2012-07-31T00:00:00Z,04:11:35,1
024-000009540,853,24,Department of Homeland Security,NPPD - Next Generation Networks Priority Services (NGN-PS),11,179972,Core SP2,11,delay,2006-01-10T00:00:00Z,2017-05-01T00:00:00Z,,,-90,-10.95,46.222,20.185,20.185,0,0,2012-08-19T00:00:00Z,10:06:05,2
024-000009540,853,24,Department of Homeland Security,NPPD - Next Generation Networks Priority Services (NGN-PS),12,179970,Core SP3,11,onTime,2006-01-10T00:00:00Z,2017-05-01T00:00:00Z,,,0,0,65.679,25.893,25.893,0,0,2012-06-29T00:00:00Z,12:19:46,3
024-000009540,853,24,Department of Homeland Security,NPPD - Next Generation Networks Priority Services (NGN-PS),13,179971,Common,11,delay,2006-01-10T00:00:00Z,2017-05-01T00:00:00Z,,,-97,-8.05,138.724,10.619,10.547,0.072,0.68,2012-08-19T00:00:00Z,10:06:05,4
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),14,,MAINTENANCE - STORAGE AREA NETWORK UPGRADE,2,onTime,2010-01-10T00:00:00Z,2012-02-09T00:00:00Z,2012-02-09T00:00:00Z,2012-02-09T00:00:00Z,0,0,0.962,0.962,0.962,0,0,2012-03-13T00:00:00Z,12:59:57,1010010000
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),15,,MAINTENANCE - SWITCH/ROUTER UPGRADE PHASE III,0,onTime,2011-04-03T00:00:00Z,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,0,0,0.254,0.254,0.254,0,0,2012-02-16T00:00:00Z,13:47:46,1010020000
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),16,,MAINTENANCE - STUDENT PC REFRESH,0,onTime,2011-04-03T00:00:00Z,2012-02-24T00:00:00Z,2012-02-24T00:00:00Z,2012-02-24T00:00:00Z,0,0,0.369,0.369,0.369,0,0,2012-03-13T00:00:00Z,12:59:57,1010030000
012-000001010,122,12,Department of Labor,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),17,,MAINTENANCE - SPAMIS MODULE UPGRADES FY12,1,onTime,2011-09-23T00:00:00Z,2012-09-22T00:00:00Z,2012-09-22T00:00:00Z,2012-09-22T00:00:00Z,0,0,1.295,1.295,1.295,0,0,2012-05-14T00:00:00Z,05:35:15,1010040000
024-000005363,143,24,Department of Homeland Security,ICE - Student and Exchange Visitor Information System (SEVIS),18,172948,SEVIS,12,delay,2002-01-07T00:00:00Z,2014-02-28T00:00:00Z,,,-103,-26.08,181.47,7.96,9.36,-1.4,-17.59,2012-07-24T00:00:00Z,04:11:39,8001
024-000005363,143,24,Department of Homeland Security,ICE - Student and Exchange Visitor Information System (SEVIS),19,172949,SEVIS II,12,delay,2008-01-05T00:00:00Z,2020-09-30T00:00:00Z,,,-730,-140.66,155.705,4.7,6.209,-1.509,-32.11,2012-08-19T00:00:00Z,10:05:40,8002
024-000005625,175,24,Department of Homeland Security,TSA - Hazmat Threat Assessment Program (HAZMAT),20,170629,HME SG Maintenance,0,onTime,2011-01-07T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,0.742,0.742,0.742,0,0,2012-07-27T00:00:00Z,14:26:19,56251
024-000005625,175,24,Department of Homeland Security,TSA - Hazmat Threat Assessment Program (HAZMAT),21,170718,Deployment of Comparability Functionality.,1,onTime,2011-01-07T00:00:00Z,2012-02-27T00:00:00Z,2012-02-27T00:00:00Z,2012-09-27T00:00:00Z,0,0,1.4,1.4,1.4,0,0,2012-03-29T00:00:00Z,11:43:14,56252
024-000005625,175,24,Department of Homeland Security,TSA - Hazmat Threat Assessment Program (HAZMAT),22,172633,FY 12HME SG SW/ HW/ Tech Refresh.,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,2,1.95,2,-0.05,-2.56,2012-08-19T00:00:00Z,10:05:41,56253
024-000005609,181,24,Department of Homeland Security,TSA - Performance Management Information System (PMIS),23,176240,Create Development Environment,0,advance,2011-01-04T00:00:00Z,2011-10-16T00:00:00Z,2011-10-14T00:00:00Z,2011-10-13T00:00:00Z,1,0.51,0.873,0.873,0.869,0.004,0.46,2011-10-27T00:00:00Z,04:36:30,50
024-000005609,181,24,Department of Homeland Security,TSA - Performance Management Information System (PMIS),24,176241,PIMS COTS Maintenance,1,advance,2011-01-04T00:00:00Z,2012-07-20T00:00:00Z,2012-07-20T00:00:00Z,2012-06-18T00:00:00Z,32,6.91,0.65,0.65,1.322,-0.672,-103.38,2012-06-26T00:00:00Z,04:16:18,100
024-000005609,181,24,Department of Homeland Security,TSA - Performance Management Information System (PMIS),25,176244,PMIS and PIMS Server/Application Migration,1,advance,2011-01-07T00:00:00Z,2012-07-27T00:00:00Z,2012-07-27T00:00:00Z,2012-07-24T00:00:00Z,3,0.85,1.33,1.33,1.31,0.02,1.5,2012-08-21T00:00:00Z,04:12:11,200
024-000005609,181,24,Department of Homeland Security,TSA - Performance Management Information System (PMIS),26,176242,"PMIS, AIM, and PIMS Software Releases",1,onTime,2012-02-04T00:00:00Z,2013-11-30T00:00:00Z,,,0,0,5.6,5.6,5.6,0,0,2012-06-26T00:00:00Z,04:16:18,300
024-000005609,181,24,Department of Homeland Security,TSA - Performance Management Information System (PMIS),27,176245,Annual Customer Satisfaction Survey,1,onTime,2012-01-10T00:00:00Z,2013-09-30T00:00:00Z,,,0,0,0.8,0.8,0.8,0,0,2011-10-27T00:00:00Z,04:36:30,400
024-000005628,170,24,Department of Homeland Security,TSA - Transportation Worker Identification Credential (TWIC),28,178169,4th Qtr TWIC Maintenance,0,onTime,2011-01-07T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,1.8,1.8,1.8,0,0,2011-10-27T00:00:00Z,04:36:44,1
024-000005628,170,24,Department of Homeland Security,TSA - Transportation Worker Identification Credential (TWIC),29,178168,Consolidated Service Contracts Transition,3,onTime,2011-01-07T00:00:00Z,2014-03-31T00:00:00Z,,,0,0,5,5,5,0,0,2012-07-30T00:00:00Z,05:04:20,2
024-000005628,170,24,Department of Homeland Security,TSA - Transportation Worker Identification Credential (TWIC),30,178612,2012 TWIC Maintenance,1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,20,20,20,0,0,2012-07-30T00:00:00Z,05:04:20,3
024-000005628,170,24,Department of Homeland Security,TSA - Transportation Worker Identification Credential (TWIC),31,180212,TWIC Reader Qualification,1,onTime,2011-01-10T00:00:00Z,2012-12-31T00:00:00Z,2012-12-31T00:00:00Z,2012-12-31T00:00:00Z,0,0,1.2,1.2,1.2,0,0,2012-07-30T00:00:00Z,05:04:20,4
024-000009508,145,24,Department of Homeland Security,NPPD - National Cybersecurity Protection System (NCPS),32,173272,NCPS Block 2.0,4,delay,2008-01-10T00:00:00Z,2012-06-30T00:00:00Z,2011-12-31T00:00:00Z,2012-06-30T00:00:00Z,-182,-99.45,97.69,0.77,0.3,0.47,61.04,2012-07-24T00:00:00Z,04:12:24,1
024-000009508,145,24,Department of Homeland Security,NPPD - National Cybersecurity Protection System (NCPS),33,178601,NCPS Block 2.1,4,delay,2008-01-10T00:00:00Z,2012-02-29T00:00:00Z,2011-11-30T00:00:00Z,2011-12-13T00:00:00Z,-13,-8.55,40.4,2.58,2.35,0.23,8.91,2012-05-30T00:00:00Z,04:19:12,2
024-000009508,145,24,Department of Homeland Security,NPPD - National Cybersecurity Protection System (NCPS),34,178604,NCPS Block 2.2,4,onTime,2012-01-10T00:00:00Z,2016-09-30T00:00:00Z,,,0,0,65.75,15.76,15.76,0,0,2011-10-26T00:00:00Z,05:34:24,3
024-000009508,145,24,Department of Homeland Security,NPPD - National Cybersecurity Protection System (NCPS),35,178602,NCPS Block 3.0,8,onTime,2008-01-10T00:00:00Z,2016-09-30T00:00:00Z,,,0,0,613.07,96.45,53.36,43.09,44.68,2012-07-24T00:00:00Z,04:12:25,4
024-000009508,145,24,Department of Homeland Security,NPPD - National Cybersecurity Protection System (NCPS),36,178603,NCPS Maintenance,13,onTime,2008-01-10T00:00:00Z,2021-09-30T00:00:00Z,,,0,0,2516.82,162.8,164.306,-1.506,-0.93,2012-05-30T00:00:00Z,04:19:12,5
024-000005439,138,24,Department of Homeland Security,ICE - IT Infrastructure (Atlas),37,172088,Data Center Services,18,onTime,2010-04-28T00:00:00Z,2028-09-30T00:00:00Z,,,0,0,603.445,10.5,10.5,0,0,2012-07-24T00:00:00Z,04:12:44,10001
024-000005439,138,24,Department of Homeland Security,ICE - IT Infrastructure (Atlas),38,172087,Desktop Services,18,advance,2010-04-28T00:00:00Z,2028-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-04-27T00:00:00Z,156,42.74,567.843,5.4,5.449,-0.049,-0.91,2012-08-19T00:00:00Z,10:06:02,10002
024-000005439,138,24,Department of Homeland Security,ICE - IT Infrastructure (Atlas),39,172089,Email Services,18,onTime,2010-04-28T00:00:00Z,2028-09-30T00:00:00Z,2012-12-30T00:00:00Z,2012-12-30T00:00:00Z,0,0,157.248,1.562,1.562,0,0,2012-08-19T00:00:00Z,10:06:02,10003
024-000005439,138,24,Department of Homeland Security,ICE - IT Infrastructure (Atlas),40,172090,Network Services,18,delay,2010-04-28T00:00:00Z,2028-09-30T00:00:00Z,2012-03-31T00:00:00Z,2012-10-08T00:00:00Z,-153,-62.96,1817.813,2.294,2.294,0,0,2012-08-19T00:00:00Z,10:06:02,10005
024-000005439,138,24,Department of Homeland Security,ICE - IT Infrastructure (Atlas),41,172092,Single Sign-On Services,18,advance,2010-04-28T00:00:00Z,2028-09-30T00:00:00Z,2012-03-31T00:00:00Z,2011-03-10T00:00:00Z,180,98.9,65.022,1.755,1.755,0,0,2012-02-26T00:00:00Z,07:18:12,10006
024-000005439,138,24,Department of Homeland Security,ICE - IT Infrastructure (Atlas),42,172093,Video Services,18,delay,2010-04-28T00:00:00Z,2028-09-30T00:00:00Z,2012-02-29T00:00:00Z,2012-05-31T00:00:00Z,-184,-43.6,176.591,4.5,4.726,-0.226,-5.02,2012-03-28T00:00:00Z,05:07:09,10008
024-000005358,308,24,Department of Homeland Security,ICE - TECS Modernization,43,175988,Core Case Management Release 1.0,2,onTime,2011-07-31T00:00:00Z,2013-07-30T00:00:00Z,2012-10-31T00:00:00Z,2012-10-31T00:00:00Z,0,0,22.939,21.553,20.489,1.064,4.94,2012-08-19T00:00:00Z,10:06:02,7001
024-000005052,312,24,Department of Homeland Security,CBP - Automated Targeting System (ATS) Maintenance,44,173064,Passenger Iteration,1,delay,2011-07-24T00:00:00Z,2012-07-28T00:00:00Z,2012-07-28T00:00:00Z,2012-07-28T00:00:00Z,-34,-9.19,15.788,15.788,15.788,0,0,2012-04-27T00:00:00Z,06:09:03,1
024-000005052,312,24,Department of Homeland Security,CBP - Automated Targeting System (ATS) Maintenance,47,173191, Cargo Iteration,0,onTime,2011-08-14T00:00:00Z,2012-06-23T00:00:00Z,2012-06-23T00:00:00Z,2012-06-23T00:00:00Z,0,0,17.76,17.76,17.76,0,0,2012-07-24T00:00:00Z,04:12:49,4
024-000005536,140,24,Department of Homeland Security,ICE - Enforcement Information Sharing (EIS),50,172085,DPICS-2- Data Pattern Information Collection System-2 (DPICS-2),0,advance,2011-06-16T00:00:00Z,2012-05-31T00:00:00Z,2012-04-29T00:00:00Z,2012-03-30T00:00:00Z,30,12.3,0.883,0.882,0.845,0.037,4.2,2012-06-20T00:00:00Z,04:10:42,9003001
024-000005536,140,24,Department of Homeland Security,ICE - Enforcement Information Sharing (EIS),51,172084,LEISS: Law Enforcement Information Sharing Service (LEISS),1,advance,2011-05-23T00:00:00Z,2012-07-31T00:00:00Z,2012-04-29T00:00:00Z,2012-03-30T00:00:00Z,30,12.3,0.343,0.342,0.381,-0.039,-11.4,2012-06-20T00:00:00Z,04:10:42,9005000
024-000009561,152,24,Department of Homeland Security,NPPD - US-VISIT - Arrival and Departure Information System (ADIS),52,172673,ADIS FY11 Maintenance Release Project,1,delay,2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2012-01-01T00:00:00Z,-93,-29.62,1.98,1.98,1.98,0,0,2012-02-28T00:00:00Z,05:17:24,1
024-000009561,152,24,Department of Homeland Security,NPPD - US-VISIT - Arrival and Departure Information System (ADIS),53,172671,ADIS FY12 Maintenance Release Project,1,delay,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,,,-61,-20.07,5.2,5.2,5.2,0,0,2012-06-27T00:00:00Z,04:18:42,2
024-000009561,152,24,Department of Homeland Security,NPPD - US-VISIT - Arrival and Departure Information System (ADIS),54,172672,ADIS FY13 Maintenance Release Project,1,onTime,2012-01-10T00:00:00Z,2013-09-30T00:00:00Z,,,0,0,2,2,2,0,0,2011-10-26T00:00:00Z,12:54:41,3
024-000005395,836,24,Department of Homeland Security,ICE - Criminal Alien Identification Initiatives (CAII),55,172058,ACRIMe Modernization,5,delay,2008-07-25T00:00:00Z,2013-09-30T00:00:00Z,,,-31,-4.75,17.982,7.308,7.231,0.077,1.05,2012-08-19T00:00:00Z,10:06:05,6002
024-000005395,836,24,Department of Homeland Security,ICE - Criminal Alien Identification Initiatives (CAII),56,172059,Status Determination Support,5,onTime,2010-01-22T00:00:00Z,2015-09-30T00:00:00Z,,,0,0,36.315,5.575,5.58,-0.005,-0.09,2012-03-28T00:00:00Z,05:07:11,6005
024-000005395,836,24,Department of Homeland Security,ICE - Criminal Alien Identification Initiatives (CAII),57,172061,Automated Threat Prioritization,4,delay,2009-09-30T00:00:00Z,2013-09-30T00:00:00Z,,,-29,-4.5,16.217,11.788,10.732,1.056,8.96,2012-07-24T00:00:00Z,04:12:57,6003
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,60,176234,KSMS 1.3,0,delay,2011-01-07T00:00:00Z,2011-11-21T00:00:00Z,2011-11-21T00:00:00Z,2011-09-12T00:00:00Z,-18,-12.59,0.565,0.564,0.608,-0.044,-7.8,2012-03-30T00:00:00Z,11:56:25,1
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,61,176232,KSMS 1.4,0,delay,2011-11-16T00:00:00Z,2012-07-13T00:00:00Z,,,-77,-32.08,0.938,0.938,0.985,-0.047,-5.01,2012-08-22T00:00:00Z,04:14:35,2
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,62,176239,KSMS 1.5,0,delay,2012-02-07T00:00:00Z,2013-01-14T00:00:00Z,,,-21,-10.88,0.773,0.773,0.773,0,0,2012-06-26T00:00:00Z,04:16:44,3
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,63,176238,IACMS 2.5,0,onTime,2011-06-14T00:00:00Z,2011-10-24T00:00:00Z,2011-10-24T00:00:00Z,2011-10-24T00:00:00Z,0,0,0.438,0.438,0.454,-0.016,-3.65,2012-02-28T00:00:00Z,11:41:56,4
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,64,176235,IACMS 2.6,0,delay,2011-10-16T00:00:00Z,2012-03-14T00:00:00Z,2012-03-14T00:00:00Z,2012-04-27T00:00:00Z,-44,-29.33,0.552,0.552,0.606,-0.054,-9.78,2012-06-26T00:00:00Z,04:16:44,5
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,65,176236,FAS 3.10,0,onTime,2011-01-09T00:00:00Z,2011-12-12T00:00:00Z,2011-12-12T00:00:00Z,2011-12-12T00:00:00Z,0,0,0.328,0.237,0.252,-0.015,-6.33,2012-03-30T00:00:00Z,11:56:25,6
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,66,176233,FAS 4.0,0,delay,2011-11-16T00:00:00Z,2012-04-20T00:00:00Z,2012-04-20T00:00:00Z,2012-05-29T00:00:00Z,-39,-25,0.602,0.572,0.628,-0.056,-9.79,2012-07-31T00:00:00Z,10:39:59,7
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,69,179952,FAS 4.1,0,advance,2012-06-04T00:00:00Z,2012-09-17T00:00:00Z,2012-09-17T00:00:00Z,2012-08-15T00:00:00Z,17,10.37,0.574,0.574,0.333,0.241,41.99,2012-08-22T00:00:00Z,04:14:35,10
024-000005670,834,24,Department of Homeland Security,TSA - Air Cargo Security,70,176246,FAS 3.9,0,onTime,2011-06-06T00:00:00Z,2011-11-14T00:00:00Z,2011-11-14T00:00:00Z,2011-11-14T00:00:00Z,0,0,0.496,0.323,0.355,-0.032,-9.91,2012-03-30T00:00:00Z,11:56:25,11
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),71,,FY11 Application Improvement Releases,1,advance,2010-01-06T00:00:00Z,2011-08-31T00:00:00Z,2011-08-31T00:00:00Z,2011-08-19T00:00:00Z,12,5.69,3.769769,1.631924,1.037095,0.594829,36.45,2012-12-07T00:00:00Z,12:42:43,208501
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),72,,FY12 Application Improvement Releases,1,delay,2011-01-07T00:00:00Z,2012-10-08T00:00:00Z,2012-10-08T00:00:00Z,2012-10-08T00:00:00Z,-21,-5.17,4.743254,4.743254,3.485574,1.25768,26.52,2012-12-07T00:00:00Z,12:42:43,208502
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),73,,Part-50 Conversion Project,1,delay,2012-01-08T00:00:00Z,2013-11-30T00:00:00Z,,,-365,-240.13,1,0.094352,0.094352,0,0,2012-12-07T00:00:00Z,12:42:43,208503
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),74,,Samples System Conversion & Reengineering,3,delay,2009-01-04T00:00:00Z,2012-02-29T00:00:00Z,2012-02-24T00:00:00Z,2012-03-30T00:00:00Z,-35,-14.71,2.405086,0.639683,0.540576,0.099107,15.49,2012-12-07T00:00:00Z,12:42:43,208504
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),75,,Technical Support Services Integration,2,advance,2009-01-05T00:00:00Z,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,2011-09-30T00:00:00Z,91,50,1.735,0.164943,0.075908,0.089035,53.98,2012-12-07T00:00:00Z,12:42:43,208505
012-000002085,123,12,Department of Labor,MSHA - MSHA Standardized Information System (MSIS),76,,Samples Rules Conversion,0,onTime,2012-03-04T00:00:00Z,2012-09-29T00:00:00Z,,,0,0,0.9,0.9,0.9,0,0,2012-12-07T00:00:00Z,12:42:43,208506
012-000003655,838,12,Department of Labor,OASAM - Acquisition Management System (AMS),77,,DOL Acquisition Management System (AMS) Development and Implementation,3,onTime,2010-06-14T00:00:00Z,2013-12-08T00:00:00Z,,,0,0,11.424988,7.05,7.05,0,0,2012-02-22T00:00:00Z,14:31:59,365501
