Name,Completion Date (B1),Lifecycle Cost ($M),Planned Cost ($ M),Projected/Actual Cost ($ M)
Department of Agriculture,2012-09-30,15.297,15.297,15.297
Department of Agriculture,2012-03-31,0.179,0.179,0.179
Department of Agriculture,2012-09-30,1.46,1.46,1.46
Department of Agriculture,2012-09-30,25.468195,25.468195,0
Department of Agriculture,2012-09-30,2,2,0
Department of Agriculture,2011-09-30,1.8205,1.8205,1.4564
Department of Agriculture,2012-09-30,1.713,1.713,1.713
Department of Agriculture,2013-03-31,1.45,1.45,1.45
Department of Agriculture,2011-03-31,0.01,0.01,0.01
Department of Agriculture,2011-09-30,46.96,46.96,46.96
Department of Agriculture,2012-04-30,0.662,0.662,0.662
Department of Agriculture,2012-12-31,3.155,0.572,0.572
Department of Agriculture,2012-12-21,14.239,2.41,0.3856
Department of Agriculture,2012-07-09,10.058,10.058,10.058
Department of Agriculture,2012-05-31,4.268,4.268,4.268
Department of Agriculture,2012-08-24,4.01,2.23,2.23
Department of Agriculture,2012-09-30,0.03,0.03,0.03
Department of Agriculture,2012-09-30,0.7,0.7,0.7
Department of Agriculture,2012-09-30,1.017,1.017,1.017
Department of Agriculture,2012-03-31,9.712,9.712,9.712
Department of Agriculture,2012-09-30,10.386,10.386,10.386
Department of Agriculture,2018-09-28,46.72,1,0.891
Department of Agriculture,2018-09-28,23.36,0.35,0.35
Department of Agriculture,2018-09-28,116.8,11.678,11.591
Department of Agriculture,2018-09-28,23.36,0.1,0.096
Department of Agriculture,2018-09-28,23.36,0.44,0.44
Department of Agriculture,2012-09-30,21.04546,21.04546,21.045495
Department of Agriculture,2011-12-30,0.7,0.7,0.7
Department of Agriculture,2011-12-30,0.15,0.15,0.15
Department of Agriculture,2012-03-30,0.35,0.35,0.35
Department of Agriculture,2012-09-30,8.210163,8.210163,8.210172
Department of Agriculture,2013-09-30,65.733,3.412,3.412
Department of Agriculture,2012-09-30,4.885,4.884,4.884
Department of Agriculture,2012-09-30,7.02,7.018,7.018
Department of Agriculture,2012-02-29,6.958,6.958,6.958
Department of Agriculture,2012-05-31,4.175,4.175,4.175
Department of Agriculture,2012-08-31,4.175,4.175,4.175
Department of Agriculture,2012-09-30,1.392,1.391,1.391
Department of Agriculture,2011-12-31,0.2,0.2,0.2
Department of Agriculture,2012-12-31,0.4,0.3,0.3
Department of Agriculture,2015-09-30,8127.961,8.127961,8.045463
Department of Agriculture,2013-01-31,7544.025,7.52596,7.52596
Department of Agriculture,2012-09-30,5.470009,5.470008,5.469906
Department of Agriculture,2012-09-21,1.22028,1.22028,1.20429
Department of Agriculture,2012-09-21,4.707543,4.70754,4.622721
Department of Agriculture,2012-09-30,4.282884,4.282884,4.282884
Department of Agriculture,2012-09-13,2.149643,2.149643,2.140975
Department of Agriculture,2012-09-28,18.4645,10.8098,10.4498
Department of Agriculture,2012-09-28,21.611,4.6095,4.47375
Department of Agriculture,2012-09-30,5.9004,5.9002,5.6813
Department of Agriculture,2012-09-30,2.306,2.3053,2.1889
Department of Agriculture,2012-09-30,0.795,0.379,0.24
Department of Agriculture,2012-09-30,1.404,1.109,1.113
Department of Agriculture,2012-09-30,1.451,1.451,1.21
Department of Agriculture,2012-10-31,17.35,16.43,12.43
Department of Agriculture,2013-10-31,17.35,0.92,0
Department of Agriculture,2011-11-30,2.2,2.2,2.12855
Department of Agriculture,2012-11-30,2.4,2.4,0
Department of Agriculture,2012-09-30,1947,1947,1947.5
Department of Agriculture,2012-09-30,6119,6119,6118.99986
Department of Agriculture,2012-09-30,119098.812,119.099001,122.218486
Department of Agriculture,2012-07-19,7.276,7.276,7.276
Department of Agriculture,2012-09-30,16.248,16.248,16.248
Department of Agriculture,2012-12-14,0.540347,0.540347,0.540347
Department of Agriculture,2012-12-14,0.835822,0.835822,0.835822
Department of Agriculture,2013-01-31,2.163072,2.163072,2.163072
Department of Agriculture,2012-11-30,0.108154,0.108154,0.108154
Department of Agriculture,2013-01-31,0.689479,0.689479,0.689479
Department of Agriculture,2013-01-31,1.622304,1.622304,1.622304
Department of Agriculture,2012-12-14,0.627291,0.627291,0.627291
Department of Agriculture,2013-01-31,1.232951,1.232951,1.232951
Department of Agriculture,2013-01-31,0.541523,0.541523,0.541523
Department of Agriculture,2013-01-31,1.39304,1.39304,1.39304
Department of Agriculture,2012-12-14,0.182509,0.182509,0.182509
Department of Agriculture,2012-11-30,3.244608,3.244608,3.244608
Department of Agriculture,2012-09-14,0.144069,0.144069,0.144069
Department of Agriculture,2013-01-31,6.489216,6.489216,6.489216
Department of Agriculture,2012-12-14,0.115711,0.115711,0.115711
Department of Agriculture,2013-01-31,0.540768,0.540768,0.540768
Department of Agriculture,2012-12-14,0.047588,0.047588,0.047588
Department of Agriculture,2013-01-31,0.547257,0.547257,0.547257
Department of Agriculture,2012-12-14,0.146007,0.146007,0.146007
Department of Agriculture,2013-01-31,0.146007,0.146007,0.146007
Department of Agriculture,2012-12-14,0.743556,0.743556,0.743556
Department of Agriculture,2012-12-14,0.005408,0.005408,0.005408
Department of Agriculture,2013-01-31,0.048669,0.048669,0.048669
Department of Agriculture,2012-12-14,2.858292,2.858292,2.858292
Department of Agriculture,2012-12-31,12.659379,12.659379,12.659379
Department of Agriculture,2012-12-14,0.636808,0.636808,0.636808
Department of Agriculture,2013-01-31,2.947186,2.947186,2.947186
Department of Agriculture,2013-01-31,2.595686,2.595686,2.595686
Department of Agriculture,2011-09-30,0.813,0.813,0.813
Department of Agriculture,2012-03-30,1.728,1.728,1.728
Department of Agriculture,2012-03-30,1.9,1.9,1.9
Department of Agriculture,2012-09-30,1.728,1.728,1.728
Department of Agriculture,2012-09-30,1.9,1.9,1.9
Department of Agriculture,2013-03-30,5.303,5.303,5.303
Department of Agriculture,2013-03-30,1.9,1.9,1.9
Department of Agriculture,2013-09-30,5.303,5.303,5.303
Department of Agriculture,2013-09-30,1.9,1.9,1.9
Department of Agriculture,2012-01-04,10.301119,7.6778,2.321
Department of Agriculture,2013-01-04,9.765558,8.437644,2.465
Department of Agriculture,2020-01-10,71.42413,0.735925,0.735925
Department of Agriculture,2012-07-17,3.795235,3.795235,3.669104
Department of Agriculture,2012-09-29,2.3252,2.3252,2.112327
Department of Agriculture,2011-12-31,0.670791,0.670791,0.663409
Department of Agriculture,2012-02-06,4.88587,4.88587,4.592241
Department of Agriculture,2012-09-30,1.988088,1.988088,1.988088
Department of Agriculture,2018-12-30,141.478,0.00225,0.00225
Department of Agriculture,2012-04-27,3,2.8474,2.847
Department of Agriculture,2011-10-30,0.07,0.058,0.0585
Department of Agriculture,2012-07-31,0.9,0.891,0.891
Department of Agriculture,2012-03-31,0.03,0.03,0.03
Department of Agriculture,2012-09-30,0.256,0.256,0.256
Department of Agriculture,2011-01-12,0.225,0.038,0.04
Department of Agriculture,2010-12-31,4.407,4.407,4.31
Department of Agriculture,2011-03-31,4.407,4.407,4.308
Department of Agriculture,2011-06-30,4.407,4.407,4.341
Department of Agriculture,2011-09-30,4.407,4.407,4.407
Department of Agriculture,2011-12-31,3.3034,3.3034,3.3034
Department of Agriculture,2012-03-31,3.3034,3.3034,3.3034
Department of Agriculture,2012-06-30,3.3034,3.3034,3.3034
Department of Agriculture,2012-09-30,3.3034,3.3034,3.3034
Department of Agriculture,2012-10-19,0.55,0.4,0.4
Department of Agriculture,2017-12-14,0.9,300.6,300.6
Department of Agriculture,2013-01-15,0.8,300.5,300.5
Department of Agriculture,2012-09-30,2.7036,2.7036,2.7036
Department of Agriculture,2012-09-30,675,1.75,1.35
Department of Agriculture,2012-02-29,16.374,16.374,9.885
Department of Agriculture,2012-02-29,1071.255,1071.255,382.801
Department of Agriculture,2018-09-30,242.984,11.441,11.441
Department of Agriculture,2018-09-30,242.985,11.441,11.441
Department of Agriculture,2018-09-30,242.985,11.442,11.442
Department of Agriculture,2018-09-30,242.984,11.441,11.441
Department of Agriculture,2018-09-30,242.984,11.441,11.441
Department of Agriculture,2018-09-30,242.985,5.656,5.656
Department of Agriculture,2012-09-30,16.498,16.498,0
Department of Agriculture,2024-09-30,214.054,23.764871,23.633144
Department of Agriculture,2015-09-28,14.836,2.56082,2.446351
Department of Agriculture,2015-09-06,4.92,0.922544,0.905762
Department of Agriculture,2015-07-31,11.272,2.867141,2.833405
Department of Agriculture,2013-03-29,1.505,0.498987,0.498987
Department of Agriculture,2014-09-30,2.211,0.5,0.5
Department of Agriculture,2014-07-31,4.004,1.7125,1.7125
Department of Agriculture,2013-07-19,1.732,0.999167,0.967489
Department of Agriculture,2011-10-10,4.801,2.495101,2.440861
Department of Agriculture,2014-02-25,2.545,0.44,0.44
Department of Agriculture,2024-09-30,330.006,27.728684,27.728684
Department of Agriculture,2015-09-29,10.028,3.621126,4.154248
Department of Agriculture,2014-07-25,5.474,3.186588,8.463203
Department of Agriculture,2014-12-03,11.13,5.421781,5.337533
Department of Agriculture,2014-01-05,8.649,3.212212,3.216402
Department of Agriculture,2012-03-31,8.942,1.811138,6.777
Department of Agriculture,2012-07-30,0.14,0.14,0.14
Department of Agriculture,2012-01-06,0.32,0.15,0.15
Department of Agriculture,2013-12-31,0.27,0.3,0.3
Department of Agriculture,2012-09-30,0.75,0.5,0.5
Department of Agriculture,2012-04-04,0.5,0.5,0.5
Department of Agriculture,2012-01-05,0.1,0.1,0.1
Department of Agriculture,2012-05-31,1.602,1.601,2.184
Department of Agriculture,2012-09-30,3805,3649.24997,3804.99991
Department of Agriculture,2012-03-30,0.25,0.123,0.123
Department of Agriculture,2012-12-31,7.32,5.09,5.09
Department of Agriculture,2012-12-31,7.32,5.09,5.09
Department of Commerce,2012-08-28,1.29675,1.29675,1.22086
Department of Commerce,2012-12-31,2.04412,2.04412,2.04412
Department of Commerce,2011-11-18,0.73381,0.73381,0.7838
Department of Commerce,2012-12-31,2.40462,2.40462,2.40389
Department of Commerce,2011-09-30,2.291,2.291,0.627391
Department of Commerce,2012-12-28,2.05995,2.05995,2.05994
Department of Commerce,2012-09-28,1.035,1.035,0.982
Department of Commerce,2012-11-30,3.45217,3.45217,3.5804
Department of Commerce,2013-02-28,4.45,4.45,4.45
Department of Commerce,2013-02-28,1.225,1.225,1.225
Department of Commerce,2011-12-30,4.50689,4.50689,4.50689
Department of Commerce,2012-06-04,3.86152,3.86152,3.86152
Department of Commerce,2012-09-01,0.84215,0.84215,0.84215
Department of Commerce,2011-10-18,1.09065,1.09065,0.29686
Department of Commerce,2012-01-31,4.98266,4.98266,8.97929
Department of Commerce,2011-10-31,3.41581,0.55328,3.2736
Department of Commerce,2011-05-10,0.489584,0.01729,0.20925
Department of Commerce,2012-03-27,0.14,0.14,0
Department of Commerce,2012-08-27,6.9643,6.9643,6.9593
Department of Commerce,2012-10-31,12.72751,12.72751,12.72751
Department of Commerce,2011-08-18,0.64406,0.64406,0.48237
Department of Commerce,2011-11-29,2.23265,2.23265,2.23265
Department of Commerce,2012-02-16,0.27056,0.26656,0.27052
Department of Commerce,2012-02-29,0.36772,0.32841,0.36772
Department of Commerce,2011-12-30,0.52294,0.52294,0.52294
Department of Commerce,2012-11-29,3.24,3.23993,3.23993
Department of Commerce,2012-04-24,0.1008,0.1008,0.07701
Department of Commerce,2011-12-29,0.33277,0.33277,0.33277
Department of Commerce,2011-10-26,0.24842,0.2402,0.20196
Department of Commerce,2011-11-17,2.36071,2.36071,2.36071
Department of Commerce,2012-01-27,0.22943,0.22943,0.22943
Department of Commerce,2012-11-20,0.4763,0.476284,0.493488
Department of Commerce,2011-11-22,0.095277,0.06568,0.06568
Department of Commerce,2012-09-28,1.490352,1.37052,1.039134
Department of Commerce,2012-08-16,2.56928,2.56927,2.56125
Department of Commerce,2012-12-04,0.45074,0.45073,0.45073
Department of Commerce,2012-08-24,0.60144,0.60143,0.56278
Department of Commerce,2012-05-31,38.99609,38.99609,40.33717
Department of Commerce,2012-12-20,0.80047,0.80047,0.80047
Department of Commerce,2012-09-28,2.8,2.73709,2.73709
Department of Commerce,2012-05-09,4.31893,4.31893,4.31893
Department of Commerce,2011-12-16,0.286,0.286,0.286
Department of Commerce,2012-12-14,0.61879,0.61879,0.61879
Department of Commerce,2012-05-25,0.845,0.845,0.83665
Department of Commerce,2012-08-22,1.45952,1.45181,1.45181
Department of Commerce,2012-10-30,3.27144,3.27144,3.27144
Department of Commerce,2012-09-28,0.25025,0.22368,0.21353
Department of Commerce,2012-09-28,3.88421,3.88421,3.88108
Department of Commerce,2012-12-18,0.185,0.185,0.185
Department of Commerce,2012-11-30,1.7542,1.7542,1.61167
Department of Commerce,2012-12-12,0.175,0.175,0.60144
Department of Commerce,2012-02-03,10.81775,10.81775,9.94396
Department of Commerce,2011-09-30,1.91382,1.91382,2.20596
Department of Commerce,2011-09-30,0.11574,0.11574,0.0691
Department of Commerce,2011-09-30,0.89427,0.89427,0.89427
Department of Commerce,2011-09-30,0.04717,0.04717,0.04268
Department of Commerce,2011-09-30,0.166,0.166,0.15052
Department of Commerce,2012-12-31,11.71154,11.71154,11.71154
Department of Commerce,2012-09-28,0.2,0.2,0.2
Department of Commerce,2012-12-31,2.73157,2.73157,2.73157
Department of Commerce,2013-09-10,8.49282,8.49282,8.49282
Department of Commerce,2013-09-30,0.5,0.5,0.5
Department of Commerce,2012-04-30,0.4776,0.4776,0.4776
Department of Commerce,2012-09-28,3.871,3.871,3.8592
Department of Commerce,2013-09-30,1,1,1
Department of Commerce,2012-12-31,5.21836,5.21836,5.21836
Department of Commerce,2012-09-28,0.84207,0.84207,0.84207
Department of Commerce,2012-12-28,2.55249,2.55249,2.06984
Department of Commerce,2013-06-28,4.33647,4.33647,4.33647
Department of Commerce,2012-10-02,0.28442,0.28442,0.28442
Department of Commerce,2012-03-04,2.3074,2.30738,2.20605
Department of Commerce,2012-08-24,4.11065,2.80341,2.8034
Department of Commerce,2011-12-30,0.81178,0.81178,0.81178
Department of Commerce,2012-11-06,0.38762,0.28905,0.289046
Department of Commerce,2013-04-19,1.76934,1.04463,1.04463
Department of Commerce,2012-11-23,3.00238,0.94076,0.94076
Department of Commerce,2014-09-30,72.63,7.013496,7.013496
Department of Commerce,2014-09-30,15.445,2.455705,2.461247
Department of Commerce,2014-09-30,2.501,1.242487,0.964457
Department of Commerce,2014-09-30,35.573,7.480659,8.230726
Department of Commerce,2012-01-10,5.248994,5.248994,5.865239
Department of Commerce,2012-09-30,54.468197,54.468197,53.025268
Department of Commerce,2012-09-30,0.927026,0.927026,1.201642
Department of Commerce,2013-02-09,0.758,0.3684,0.3684
Department of Commerce,2013-02-09,0.48,0.0774,0.000696
Department of Commerce,2013-09-30,12.824599,5.766296,5.766137
Department of Commerce,2013-09-30,14.534012,8.830269,8.829927
Department of Commerce,2012-03-30,0.555,0.286,0.2712
Department of Commerce,2012-06-30,0.675,0.548,0.4959
Department of Commerce,2012-06-07,1.6,1.395,0.933
Department of Commerce,2014-09-30,3.27,0.534,0.4395
